@relation 'UCA Data Mining - LEADS Real Estate 20190830 v4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R9,11-13,15-16,18,20-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.unsupervised.attribute.Remove-R3'

@attribute 'Origen NEW!' {Facebook,Espontaneo,Google,Emblue,E-mailing,Organico,ZonaProp,Referido,Instagram,Broker,Evento,ViaPublica,Medios,Twitter,Infocasas,Linkedin,'Mercado X',MediosGraficos}
@attribute 'Campaña NEW!' {Lead_Ads,Showroom,Search,Telefono,Ads,newsletter,postlink,Posteo,Brochure,Inbox,Post_Ads,#N/A,0,Broker,Propiedad,Facebook,Organic,Adw_Display,'Base Propia',Organico,Directo,Espontaneo,GDN,DM,AdWords,Chat,Envio,E-mailing,Pagina_Web,Banner_Home,Muro,Bing,BasePropia,GDN-Remarketing-Similares,Zonaprop,direct,BLOG,Lead,Google,cpc,Email,Ads_Post,emBlue,'WEB Proyecto',Leads,instagram.com,'Web Institucional',chatboot,altoscargosyrealestate,'Web ZonaProp',Anunciovideo,Lanzamiento,Departamentos,organic,carrousel,NotaRM,Bio,BotonContacto,'campaña 2018',Trafico,Lookalike,Locales,Adw_Search,Intereses,Anunciocarrousel,emailing_emblue,instagram,Ninguno,Post,Display,Referencia,Publinota,Pago,Landing01PB,Emailing,Referido,Rmkt,Cartel,BannerPopUp,Remarketing,Orgánico,Google_Blast,Payment,None,FB_Ads,'Fb _Ads',Fb_post,Publicidad_la_nacion,Prensa,Landing,Mailing,portal}
@attribute 'Vendedor ALIAS' {'Vendedor #1','Vendedor #2','Vendedor #3','Vendedor #4','Vendedor #5','Vendedor #6','Vendedor #8','Vendedor #9','Vendedor #10','Vendedor #11','Vendedor #12','Vendedor #7','Vendedor #13'}
@attribute 'Estado manual' {'Posible comprador','Perfil inadecuado'}
@attribute MES numeric
@attribute 'TC (ARS/USD)' numeric
@attribute 'Variación TC ARS/USD (- 12 SEM)' numeric
@attribute 'Variación TC UYU/USD (- 2 SEM)' numeric
@attribute 'Variación TC UYU/USD (- 12 SEM)' numeric
@attribute 'CLASE new (simplificada a 2 clases)' {'UNQUALIFIED LEAD','QUALIFIED LEAD'}

@data
Google,Search,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #8','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
ZonaProp,#N/A,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #2','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Organico,0,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Ads,'Vendedor #2','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0304,0.0522,'UNQUALIFIED LEAD'
Espontaneo,Showroom,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.019,0.0616,'UNQUALIFIED LEAD'
Organico,Brochure,'Vendedor #2','Perfil inadecuado',1,15.85,0.0428,-0.019,0.0616,'UNQUALIFIED LEAD'
Google,Search,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.019,0.0616,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.019,0.0616,'UNQUALIFIED LEAD'
Facebook,Inbox,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.019,0.0616,'UNQUALIFIED LEAD'
Organico,Broker,'Vendedor #2','Perfil inadecuado',1,15.85,0.0428,-0.019,0.0616,'UNQUALIFIED LEAD'
Facebook,Inbox,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #2','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #2','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'QUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
ZonaProp,Propiedad,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Organico,Brochure,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0214,0.06,'UNQUALIFIED LEAD'
Facebook,Inbox,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Inbox,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #9','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Post_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #2','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #2','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #2','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #5','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Google,Search,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Inbox,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0248,0.0535,'UNQUALIFIED LEAD'
Facebook,Inbox,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #2','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #4','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Lead_Ads,'Vendedor #3','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Inbox,'Vendedor #1','Perfil inadecuado',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
Facebook,Post_Ads,'Vendedor #2','Posible comprador',1,15.85,0.0428,-0.0306,0.048,'UNQUALIFIED LEAD'
